Year,Response,ec_hours,hw_hours,pressure,activity
2nd,1,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
2nd,2,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,3,5,2,1,"Solo Sports (Tennis, Rowing etc)"
2nd,4,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,5,5,2,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,6,3,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,7,4,3.5,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,8,4,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,9,4,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,10,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc);Gym"
2nd,11,5,3.5,2,"Team Sports (Hurling,Soccer etc);Gym "
2nd,12,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,13,5,2,4,"Team Sports (Hurling,Soccer etc)"
2nd,14,2,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,15,5,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,16,5,2,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,17,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,18,5,3.5,3,"Team Sports (Hurling,Soccer etc)"
2nd,19,5,2,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,20,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,21,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,22,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,23,5,1,4,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,24,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,25,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,26,5,3.5,2,"Team Sports (Hurling,Soccer etc)"
2nd,27,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,28,5,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
2nd,29,1,2,1,"Team Sports (Hurling,Soccer etc);Academic (Chess, Debating etc);Film club"
2nd,30,5,1,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,31,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,32,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,33,5,2,3,"Solo Sports (Tennis, Rowing etc)"
2nd,34,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,35,5,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,36,1,2,2,The badminton at school
2nd,37,2,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,38,4,1,4,"Solo Sports (Tennis, Rowing etc)"
2nd,39,5,2,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,40,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,41,5,0.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,42,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
2nd,43,5,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
2nd,44,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,45,5,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,46,5,2,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,47,2,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,48,2,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,49,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,50,5,3.5,4,"Team Sports (Hurling,Soccer etc)"
2nd,51,3,1,4,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,52,5,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,53,5,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,54,4,0.5,3,"Team Sports (Hurling,Soccer etc)"
2nd,55,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Swimming"
2nd,56,5,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,57,5,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,58,5,0.5,5,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,59,5,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,60,3,2,2,"Drama/acting (Dance, Performance etc);"
2nd,61,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,62,2,1,3,"Academic (Chess, Debating etc);Artistic (Painting, Drawing etc)"
2nd,63,2,1,4,"Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
2nd,64,2,1,2,"Solo Sports (Tennis, Rowing etc)"
2nd,65,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,66,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,67,5,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,68,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,69,5,2,3,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc);Lifeguarding, Taekwondo "
2nd,70,5,1,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,71,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,72,5,2,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,73,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,74,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,75,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,76,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,77,5,1,4,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,78,5,2,4,"Team Sports (Hurling,Soccer etc)"
2nd,79,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,80,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,81,5,3.5,1,"Team Sports (Hurling,Soccer etc)"
2nd,82,5,2,3,"Team Sports (Hurling,Soccer etc);Race cars"
2nd,83,5,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,84,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,85,5,2,5,"Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,86,4,2,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,87,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,88,5,2,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc);Drama/acting (Dance, Performance etc);sailing swimming"
2nd,89,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,90,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,91,5,2,1,"Drama/acting (Dance, Performance etc);Hockey "
2nd,92,5,0.5,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,93,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,94,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
2nd,95,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,96,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Drama/acting (Dance, Performance etc)"
2nd,97,4,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,98,2,2,2,study
2nd,99,5,1,4,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,100,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
2nd,101,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,102,3,2,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,103,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,104,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,105,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc);Drama/acting (Dance, Performance etc)"
2nd,106,5,1,5,"Team Sports (Hurling,Soccer etc);Horse riding"
2nd,107,5,0.5,5,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,108,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,109,5,0.5,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,110,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,111,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
2nd,112,5,0.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Drama/acting (Dance, Performance etc)"
2nd,113,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
2nd,114,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,115,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,116,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,117,5,3.5,1,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc);French class"
2nd,118,5,3.5,5,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
2nd,119,3,0.5,2,"Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
2nd,120,3,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,121,5,2,1,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,122,3,2,2,"Solo Sports (Tennis, Rowing etc)"
2nd,123,5,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,124,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,125,2,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,126,1,3.5,2,"Team Sports (Hurling,Soccer etc)"
2nd,127,3,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,128,3,3.5,2,city hall youth ouncil
2nd,129,5,2,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,130,1,1,3,"Artistic (Painting, Drawing etc)"
2nd,131,4,2,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,132,3,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);scouts"
2nd,133,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,134,4,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,135,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,136,1,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,137,5,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
2nd,138,5,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,139,3,1,3,"Solo Sports (Tennis, Rowing etc)"
2nd,140,3,2,3,"Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc);Gymnastics"
2nd,141,2,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,142,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,143,3,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,144,2,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,145,4,2,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,146,4,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,147,5,0.5,3,"Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc);karate"
2nd,148,5,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Artistic (Painting, Drawing etc);Drama/acting (Dance, Performance etc)"
2nd,149,5,1,3,"Solo Sports (Tennis, Rowing etc);Drama/acting (Dance, Performance etc)"
2nd,150,5,2,4,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
2nd,151,2,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,152,3,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,153,5,2,2,"Solo Sports (Tennis, Rowing etc)"
2nd,154,1,0.5,2,"Artistic (Painting, Drawing etc)"
2nd,155,2,1,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,156,2,3.5,1,baking
2nd,157,3,2,2,"Solo Sports (Tennis, Rowing etc);"
2nd,158,3,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,159,5,1,2,"Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc);horse riding"
2nd,160,1,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,161,5,2,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);scouts"
2nd,162,1,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,163,1,2,2,"Drama/acting (Dance, Performance etc)"
2nd,164,1,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,165,2,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,166,3,1,3,"Solo Sports (Tennis, Rowing etc)"
2nd,167,4,2,2,"Solo Sports (Tennis, Rowing etc);First aid training,Scouts"
2nd,168,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,169,5,2,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,170,3,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
2nd,171,5,2,1,"Artistic (Painting, Drawing etc);horse riding"
2nd,172,4,2,2,"Team Sports (Hurling,Soccer etc);Drama/acting (Dance, Performance etc);musical theatre"
2nd,173,1,2,5,"Team Sports (Hurling,Soccer etc)"
2nd,174,5,2,4,"Team Sports (Hurling,Soccer etc)"
2nd,175,4,2,3,"Solo Sports (Tennis, Rowing etc)"
2nd,176,1,1,3,"Artistic (Painting, Drawing etc)"
2nd,177,5,2,2,"Team Sports (Hurling,Soccer etc);Drama/acting (Dance, Performance etc)"
2nd,178,2,1,2,"Team Sports (Hurling,Soccer etc)"
2nd,179,5,2,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,180,5,3.5,1,"Solo Sports (Tennis, Rowing etc);Drama/acting (Dance, Performance etc)"
2nd,181,5,2,1,"Solo Sports (Tennis, Rowing etc)"
2nd,182,5,0.5,1,"Team Sports (Hurling,Soccer etc);Drama/acting (Dance, Performance etc)"
5th,183,5,0.5,4,"Team Sports (Hurling,Soccer etc)"
5th,184,5,2,4,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
5th,185,5,1,3,"Team Sports (Hurling,Soccer etc)"
5th,186,5,2,3,"Team Sports (Hurling,Soccer etc)"
5th,187,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,188,5,0.5,5,"Team Sports (Hurling,Soccer etc)"
5th,189,5,2,3,"Academic (Chess, Debating etc)"
5th,190,5,1,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
5th,191,5,1,3,"Team Sports (Hurling,Soccer etc);Artistic (Painting, Drawing etc)"
5th,192,5,1,4,"Academic (Chess, Debating etc)"
5th,193,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
5th,194,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,195,3,1,1,Gym
5th,196,1,0.5,4,"Team Sports (Hurling,Soccer etc)"
5th,197,3,3.5,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,198,4,3.5,2,"Team Sports (Hurling,Soccer etc)"
5th,199,5,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc);Competitive Essay Writing, European Youth Parliament and Model UN"
5th,200,4,3.5,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,201,2,2,1,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,202,3,2,2,"Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
5th,203,5,3.5,1,"Solo Sports (Tennis, Rowing etc);Gym"
5th,204,5,0.5,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,205,5,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,206,5,3.5,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,207,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,208,5,1,4,"Solo Sports (Tennis, Rowing etc);Sailing, Cycling"
5th,209,5,2,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Drama/acting (Dance, Performance etc)"
5th,210,5,2,2,"Solo Sports (Tennis, Rowing etc)"
5th,211,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,212,5,3.5,4,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,213,4,2,4,"Team Sports (Hurling,Soccer etc)"
5th,214,4,2,4,"Team Sports (Hurling,Soccer etc)"
5th,215,5,1,3,"Solo Sports (Tennis, Rowing etc)"
5th,216,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,217,5,1,1,"Team Sports (Hurling,Soccer etc)"
5th,218,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,219,5,1,3,"Team Sports (Hurling,Soccer etc)"
5th,220,3,0.5,3,"Team Sports (Hurling,Soccer etc)"
5th,221,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,222,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,223,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,224,5,1,3,Gym
5th,225,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,226,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,227,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,228,1,1,1,Calisthenics training 
5th,229,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,230,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,231,5,1,5,"Team Sports (Hurling,Soccer etc)"
5th,232,2,1,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,233,4,3.5,2,"Team Sports (Hurling,Soccer etc)"
5th,234,4,0.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,235,5,2,4,"Music (Instrument, Choir etc);Gym"
5th,236,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,237,1,0.5,2,Gym
5th,238,5,2,2,"Solo Sports (Tennis, Rowing etc)"
5th,239,4,3.5,1,"Team Sports (Hurling,Soccer etc);Gym"
5th,240,5,0.5,2,"Team Sports (Hurling,Soccer etc);Gym"
5th,241,5,0.5,5,"Solo Sports (Tennis, Rowing etc)"
5th,242,4,2,1,"Team Sports (Hurling,Soccer etc)"
5th,243,2,3.5,2,"Academic (Chess, Debating etc)"
5th,244,5,0.5,2,"Team Sports (Hurling,Soccer etc);Academic (Chess, Debating etc);Artistic (Painting, Drawing etc)"
5th,245,3,0.5,5,"Team Sports (Hurling,Soccer etc)"
5th,246,5,1,4,"Music (Instrument, Choir etc)"
5th,247,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
5th,248,5,3.5,4,Bodybuilding
5th,249,5,0.5,1,"Team Sports (Hurling,Soccer etc); Gym"
5th,250,5,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,251,5,0.5,2,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc);Scouts"
5th,252,5,0.5,4,"Solo Sports (Tennis, Rowing etc)"
5th,253,4,0.5,1,"Music (Instrument, Choir etc);Artistic (Painting, Drawing etc)"
5th,254,3,1,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Artistic (Painting, Drawing etc)"
5th,255,5,0.5,3,"Team Sports (Hurling,Soccer etc)"
5th,256,5,2,3,Gym
5th,257,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,258,5,1,3,"Team Sports (Hurling,Soccer etc)"
5th,259,4,2,1,"Team Sports (Hurling,Soccer etc)"
5th,260,5,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,261,5,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,262,5,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
5th,263,5,1,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,264,4,1,1,"Team Sports (Hurling,Soccer etc)"
5th,265,3,1,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,266,4,0.5,1,"Team Sports (Hurling,Soccer etc)"
5th,267,5,2,4,"Solo Sports (Tennis, Rowing etc)"
5th,268,5,0.5,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,269,2,2,4,Dw abt it mate
5th,270,3,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,271,4,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,272,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,273,3,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,274,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,275,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,276,3,3.5,5,"Solo Sports (Tennis, Rowing etc)"
5th,277,5,0.5,5,"Team Sports (Hurling,Soccer etc)"
5th,278,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,279,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,280,5,1,4,"Solo Sports (Tennis, Rowing etc)"
5th,281,5,1,2,"Solo Sports (Tennis, Rowing etc)"
5th,282,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,283,5,3.5,2,"Team Sports (Hurling,Soccer etc)"
5th,284,5,2,2,"Solo Sports (Tennis, Rowing etc);Gym"
5th,285,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,286,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,287,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,288,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,289,2,3.5,1,"Artistic (Painting, Drawing etc)"
5th,290,5,0.5,1,"Team Sports (Hurling,Soccer etc);Gym"
5th,291,2,1,1,"Drama/acting (Dance, Performance etc)"
5th,292,5,0.5,2,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,293,3,1,1,"Team Sports (Hurling,Soccer etc)"
5th,294,5,0.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,295,5,0.5,1,Gym and soccer 
5th,296,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,297,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
5th,298,5,1,1,Mountain Biking
5th,299,5,2,3,"Team Sports (Hurling,Soccer etc)"
5th,300,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,301,1,0.5,3,"Academic (Chess, Debating etc)"
5th,302,5,0.5,2,"Team Sports (Hurling,Soccer etc);Scouts"
5th,303,4,2,5,"Team Sports (Hurling,Soccer etc)"